id,level,word,meaning_en,meaning_tr,meaning_es,full_entry,article,pos,plural,forms,examples,page
b1_0001,B1,2 Alphabetischer,2 Alphabetical,2 Alfabetik,2 alfabético,2 Alphabetischer,,other,,,Wortschatz,16
b1_0002,B1,ab,away,uzak,lejos,ab 1.,,preposition,,,Die Fahrt kostet ab Hamburg 200 Euro. || Ab nächster Woche bleibt unser Geschäft samstags geschlossen. || Mein Bruder besucht uns ab und zu.,16
b1_0003,B1,"abbiegen, biegt ab,","turn, turn","dön, dön","girar, girar","abbiegen, biegt ab,",,word,,,An der nächsten Kreuzung müssen Sie,16
b1_0004,B1,bog ab,turned off,kapalı,apagado,"bog ab, ist abgebogen",,verb,,ist abgebogen,links abbiegen.,16
b1_0005,B1,"die Abbildung, -en","the illustration, -en","illüstrasyon, -tr","la ilustración, -es","die Abbildung, -en",die,noun,-en,,"Auf der Abbildung sehen Sie, wie man das Gerät einschaltet.",16
b1_0006,B1,"das Abenteuer, -","the adventure, -","macera, -","la aventura, -","das Abenteuer, - 1.",das,noun,- 1.,,Unser Urlaub war ein tolles Abenteuer. || Die Kinder lieben Aben- teuergeschichten.,16
b1_0007,B1,aber,but,Ancak,pero,aber 1.,,conjunction,,,"Heute kann ich nicht, aber morgen ganz bestimmt. || Es lag sehr viel Schnee, aber Enzo ist trotzdem mit dem Motorrad gefahren. || Wir haben nur eine kleine Wohnung, sind aber damit zufrieden. || Es war sehr schön. || Jetzt muss ich aber gehen. || Ich würde gerne kommen, aber es geht leider nicht. || Darf ich dich zu einem Kaffee einladen? || – Aber ja, sehr gern. || Du spielst aber gut Klavier.",16
b1_0008,B1,"abfahren, fährt ab,","depart, depart","ayrılmak, ayrılmak","partir, partir","abfahren, fährt ab,",,word,,,Unser Zug ist pünktlich abgefahren.,16
b1_0009,B1,fuhr ab,drove off,yola çıktı,se fue,"fuhr ab, ist abgefahren",,verb,,ist abgefahren,,16
b1_0010,B1,"die Abfahrt, -en","the departure, -en","kalkış, -tr","la partida, -es","die Abfahrt, -en",die,noun,-en,,Es bleiben uns noch zwanzig Minuten bis zur Abfahrt.,16
b1_0011,B1,"der Abfall, ¨-e","the waste, ¨-e","atık, ¨-e","los residuos, ¨-e","der Abfall, ¨-e",der,noun,¨-e,,Werfen Sie den Bioabfall bitte nicht zum normalen Müll.,16
b1_0012,B1,"der Abfalleimer, -","the trash can, -","çöp kutusu, -","el bote de basura, -","der Abfalleimer, -",der,noun,-,,Wirf das bitte in den Abfalleimer!,16
b1_0013,B1,Abgase (Pl.),exhaust gases (pl.),egzoz gazları (pl.),gases de escape (pl.),Abgase (Pl.),,noun,,,Abgase aus Industrie und Haushalten verschmutzen die Luft.,16
b1_0014,B1,"abgeben, gibt ab, gab ab,","give in, give in, give in","teslim olmak, teslim olmak, teslim olmak","ceder, ceder, ceder","abgeben, gibt ab, gab ab,",,word,,hat abgegeben,Ich soll dieses Päckchen bei Herrn || Müller abgeben.,16
b1_0015,B1,"abhängen, hängt ab, hing","depend, depends, hung","bağımlı, bağlıdır, asılı","depende, depende, colgado","abhängen, hängt ab, hing",,word,,,Vielleicht bleiben wir ein paar Tage,16
b1_0016,B1,"ab, hat abgehangen (von)","from, has depended (on)",bağlıydı (bağlıydı),"de, ha dependido (de)","ab, hat abgehangen (von)",,preposition,,,"länger, das hängt vom Wetter ab.",16
b1_0017,B1,abhängig,dependent,abhängig,dependiente,abhängig,,adjective,,,Gregor ist finanziell von seinen Eltern abhängig.,16
b1_0018,B1,"abheben, hebt ab, hob ab,","take off, take off, take off","kalkış, kalkış, kalkış","despegar, despegar, despegar","abheben, hebt ab, hob ab,",,word,,hat abgehoben,Für die Reise habe ich 500 Euro von || meinem Konto abgehoben.,16
b1_0019,B1,"abholen, holt ab, holte ab,","pick up, picks up, picked up","almak, almak, aldı","recoger, recoger, recoger","abholen, holt ab, holte ab,",,word,,hat abgeholt,Meine Freundin hat mich vom Bahnhof || abgeholt.,16
b1_0020,B1,"abschreiben, schreibt ab,","write off, write off","sil, sil","cancelar, cancelar","abschreiben, schreibt ab,",,word,,,Er hat die Hausaufgaben von mir,16
b1_0021,B1,"schrieb ab,",wrote off,sildi,cancelado,"schrieb ab,",,word,,hat abgeschrieben,abgeschrieben.,16
b1_0022,B1,"das Abitur (D)→A, CH:","the Abitur (D)→A, CH:","Abitur (D)→A, CH:","el Abitur (D)→A, CH:","das Abitur (D)→A, CH:",das,noun,,,Meine Tochter hat gerade Abitur,16
b1_0023,B1,Matura,Matura,Matura,madura,Matura,,noun,,,gemacht.,16
b1_0024,B1,"ablehnen, lehnt ab,","reject, reject","reddetmek, reddetmek","rechazar, rechazar","ablehnen, lehnt ab,",,word,,,"Er hat mein Angebot, ihm zu helfen,",16
b1_0025,B1,"lehnte ab, hat abgelehnt","refused, refused","reddedildi, reddedildi","rechazado, rechazado","lehnte ab, hat abgelehnt",,word,,,abgelehnt.,16
b1_0026,B1,"abmachen, macht ab,","cancel, cancel","iptal etmek, iptal etmek","cancelar, cancelar","abmachen, macht ab,",,word,,,"Wir hatten doch abgemacht, dass du",16
b1_0027,B1,"machte ab, hat abgemacht","made a deal, made a deal","bir anlaşma yaptım, bir anlaşma yaptım","hizo un trato, hizo un trato","machte ab, hat abgemacht",,word,,,die Getränke besorgst.,16
b1_0028,B1,"abnehmen, nimmt ab,","decrease, decrease","azalma, azalma","disminuir, disminuir","abnehmen, nimmt ab, 1.",,word,,,Morgen können wir den Verband,16
b1_0029,B1,"nahm ab,","nahm ab,",aldı,recogido,"nahm ab,",,word,,hat abgenommen,abnehmen. || Ich habe zehn Kilo abgenommen.,16
b1_0030,B1,"abonnieren, abonniert,","subscribe, subscribed","abone oldum, abone oldum","suscríbete, suscrito","abonnieren, abonniert,",,word,,,Diese Zeitschrift würde ich gerne,16
b1_0031,B1,"abonnierte, hat abonniert","subscribed, has subscribed","abone oldum, abone oldum","suscrito, se ha suscrito","abonnierte, hat abonniert",,word,,,abonnieren.,16
b1_0032,B1,"das Abonnement, -s/-e","the subscription, -s/-e","abonelik, -s/-e","la suscripción, -s/-e","das Abonnement, -s/-e",das,noun,-s/-e,,Ich habe das Abonnement gekündigt.,16
b1_0033,B1,"absagen, sagt ab, sagte","cancel, cancel, said","iptal et, iptal et, dedi","cancelar, cancelar, dijo","absagen, sagt ab, sagte",,word,,,"Ich muss unser Treffen leider absagen,",16
b1_0034,B1,"ab, hat abgesagt","off, canceled","kapalı, iptal edildi","apagado, cancelado","ab, hat abgesagt",,preposition,,,weil ich krank geworden bin.,16
b1_0035,B1,"der Abschluss, ¨-e","the conclusion, ¨-e","sonuç, ¨-e","la conclusión, ¨-e","der Abschluss, ¨-e",der,noun,¨-e,,Ein guter Schulabschluss ist sehr wichtig.,16
b1_0036,B1,"der Abschnitt, -e","the section, -e","bölüm, -e","la sección, -e","der Abschnitt, -e",der,noun,-e,,Lesen Sie bitte den zweiten Abschnitt.,16
b1_0037,B1,"der Absender, -","the sender, -","gönderen, -","el remitente, -","der Absender, -",der,noun,-,,Schicken Sie das Paket an den,16
b1_0038,B1,"die Absenderin, -nen","the sender, -nen","gönderen, -nen","el remitente, -nen","die Absenderin, -nen",die,noun,-nen,,Absender zurück.,16
b1_0039,B1,"die Absicht, -en","the intention, -en","niyet, -tr","la intención, -es","die Absicht, -en 1.",die,noun,-en 1.,,Entschuldigen Sie bitte. || Meine Tochter hat das nicht mit Absicht gemacht. || Hast du die Absicht zu studieren?,16
b1_0040,B1,absolut,absolutely,kesinlikle,absolutamente,absolut 1.,,word,,,"Was Sie da sagen, ist absolut falsch. || Ich habe absolutes Vertrauen zu dir.",16
b1_0041,B1,"abstimmen, stimmt ab, Lasst","vote, vote, let","oy verin, oy verin, izin verin","votar, votar, dejar","abstimmen, stimmt ab, Lasst",,word,,,uns über diesen Punkt abstimmen.,16
b1_0042,B1,"stimmte ab,",voted,oy verildi,votado,"stimmte ab,",,word,,hat abgestimmt,,16
b1_0043,B1,"die Abteilung, -en","the department, -en","die Abteilung, -en","el departamento, -es","die Abteilung, -en",die,noun,-en,,Meine Freundin arbeitet in der Abteilung von Frau Kaufmann.,16
b1_0044,B1,"der Abwart, -e","the caretaker, -e","bekçi, -e","el cuidador, -e","der Abwart, -e",der,noun,-e,,"Der Abwart hat mir geholfen, den",16
b1_0045,B1,"die Abwartin, -nen (CH) →","the waiting woman, -nen (CH) →","bekleyen kadın, -nen (CH) →","la mujer que espera, -nen (CH) →","die Abwartin, -nen (CH) →",die,noun,-nen (CH) →,,Schrank in die Wohnung zu tragen.,16
b1_0046,B1,"D, A: Hausmeister","D, A: caretaker","D, A: bekçi","D, A: cuidador","D, A: Hausmeister",,noun,,,,16
b1_0047,B1,abwärts,down,aşağı,abajo,abwärts,,word,,,Von dort führt der Weg abwärts ins Tal.,16
b1_0048,B1,"abwaschen, wäscht ab,","wash off, washes off","yıkar, yıkar","lavar, lavar","abwaschen, wäscht ab,",,word,,,Ich muss noch das Geschirr abwaschen.,16
b1_0049,B1,"wusch ab,",washed off,yıkanmış,lavado,"wusch ab,",,word,,hat abgewaschen,,16
b1_0050,B1,abwesend,absent,mevcut olmayan,ausente,abwesend,,word,,,Herr Huber ist bis zum 25. || April abwesend.,16
